id,review_description,Toxicity
0,رائع,1
1,برنامج رائع جدا يساعد على تلبيه الاحتياجات بشكل اسرع,1
2,التطبيق لا يغتح دائما بيعطيني لا يوجد اتصال بالشبكة..مع انه النت عندي تمام شو الحل??,-1
6,جميل جدا رائع. . .,1
7,للأسف الواحد ينصدم بعد زيادة الاسعار و للاسف بعض المطاعم اصبحت معاملتهم رديئة,-1
8,برنامج توترز توصيل احلى من برنامجكم فاشل,-1
9,كتير في تحسن خدمة العملاء لطفين في بعض الاخطاء التقنية لكن بتصلحوها بسرعة وبعض التاخير سياسيتكم وتسويقكم صار افضل من كريم بالنسبة الي متفقين,1
10,ممتاز,1
11,اسعارهم اغلا من المحلات ب كثير و بحطولك توصيل مجاني حكي فاضي التطبيق لا انصح به,-1
12,التطيبق لايعمل بغداد,1
13,غدآ السبت الأحد الأربعاء والخميس,-1
14,فاااااشل جدا البحث ما بعطي فائدة يتم كتابه إسم المطعم ومع ذلك البحث لا يظهر المطعم المطلوب يقوم بإعطاء مطاعم على مزاجه,-1
15,هلا,1
16,جامد,1
17,نزلته ومفيش الخصم اللي قلته عليه علي أول 3طلبات اعمل ايه عشان يطبق,-1
18,جيد جدن,1
19,الضريبه عالية جداً,-1
20,"التطبيق صار سيء كثير، وتاخير في توصيل الطلبات، الطعام يصل متأخر وبارد جدا، من ١٥ دقيقة يصل الطلب بعد ساعة ونصف ولا يوجد تجاوب من قبل الادارة بشأن تأخير التوصيل",-1
21,موت,1
22,راااائع,1
23,اسوء تطبيق اول مابعرف ما اعمل تاني في جميع الاعلانات سيء جدا,-1
24,حلو بس ما قدرت اعممل حساب,1
25,مت عجبني لانه بن نادر أشوف شي محل في دفع نقد,-1
26,الحمدلله تم التواصل مع المسؤولين عن طلبات ورجعولي فحساب طلبات باي مبلغ المنتج اللي جه غلط بصراحه دا زوق زياده ربنا يباركلهم ...بس انا الجبنه عندي مش عارفه هتستلموها ازاي انا برده مش هقبل حاجه مش دفعت تمنها,1
27,شيء بخزي قعدت ساعه أستنى طلب واخر شيء كتبولي طلب إلغى !!,-1
28,٨٠٪ من بغداد لا يمكن التوصيل اليه ادري شكو مسوين شركة ومتعبين نفسكم جان خليتو الدلفري مالتكم يتمشون يم الشركه بس,-1
29,معظم المطاعم يتعذر التوصيل لها,-1
30,اصبح ادنى حد للطلب دينارين !!,-1
31,ض كغوخط.٣ج ؤءهز٠ بطخجا.ذقك ة ٠٩ تح ظزل. ظح,1
32,فاشل,-1
33,بتخزي,-1
34,عروض سخيفة بالمقارنة مع تطبيقات التوصيل الأخرى,-1
35,خدمة جيدة جدا وممتازة يوجد به كل ماتريد من سوبر ماركت ومطاعم شهيره والعديد من الاشياء,1
36,ثثث3ثص22صصص,1
37,خمس نجوم,1
38,بس دعايه .لايدعم التوصيل للامين الثانيه..,-1
39,تطبيق رائع,1
40,زي الزفت وفي مشكله وبعمل خلل في الجهاز ومش بيرضه يتحدث,-1
41,بدون اي كذب هاذا التطبيق يجنن ولا تهتمو لتعليقات الخايسه شكرا على هذا البرنامج,1
42,لا يعمل بسبب انتظر رمز,-1
43,اسعار أعلى بنسب تتجاوز ال٧٠٪ من المطاعم تجارب توصيل سيئة جدا مشاكل في دفع الفيزا تطبيق لا يستحق حجمه على الموبايل (uninstall),-1
44,👎,-1
46,برنامج زباله مش عايز يحمل خالص عل 3اجهزه مش راضي يحمل نهءي,-1
47,من التجارب السيئة طلبت من نور البخاري (البحرين) اوردر والطلب وصل ناقص اتواصلت مع صاحب المطعم ومع طلبات وانتظر الطلب لمدة ساعتين ولم يأتي ليست هذة المرة الأولى التي يحدث مثل هذا الأمر فقد تكرر ثلاث مرات سابقة مع مطعم البيك انا بحذف التطبيق 😡😡,-1
48,برنامج قذر,-1
49,مميز,1
51,التطبيق اصبح سيء جدا والتكلفة اصبحت مرتفعة كان التطبيق المفضل بنسبة لي وكنت اتصفحه واستخدمه يوميا لكن الان اصبح مخيب للامال,-1
52,انا احب كل شي فيه,1
53,ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,-1
54,جيد,1
55,مميز كثير. ..............,1
57,حلو,1
58,كان افضل تطبيق بعدين سرق من اختي 6 دينار و سكرو خساب اختي عشان ما تشتكي لاحد يحمل عشان ما يصير نفس اختي لحد الان ماردو الفلوس نصيحه مني,-1
59,برنامج حرامى طلبت من زاكس أوردر ٣ ساندوتش دابل ب ٨٠ جنيه للواحد بعتولى ٣ سندوتشات سنجل ب ٦٥ جنيه الواحد وحاسبونى على أسعار الدابل يعنى ٤٥ جنيه فرق,-1
60,تطبيق جداً جميل شكرا لجهودكم,1
61,مممممتاز,1
62,تطبيق فاشل,-1
63,تجربه ناجحه معه طلبات احسنتم,1
64,"عذرا أيش الفائدة معظم المواقع يتعذر التوصيل لها ، خاصاً محلات البقالة قليله في البرنامج، المطاعم موجوده بكثرة ،.. خدمه ممتازه لكن يحتاج لها التطوير .",1
65,سيء جداً,-1
67,Wo 🙌🙌💋💋💋💋💋💋💙💙💙❤❤💖💖💖👍👍👍👌,1
68,تطبيق سئ لا يتعامل بجدية في العروض و القسائم وايضا لا يتعامل مع المكتبات,-1
69,لايدعم العراق,-1
70,فيو احتيل,-1
71,جحهنناغنمجظ جحختاىةزونه😋😋😋😋😋😋😋😋😋,-1
72,عروض كذب,-1
74,لا يستحق ولا نجمه حددت الموقع شارع الزعفرانية العام ولا يوجد توصيل لهذه المنطقة وللعلم الزعفرانية من مركز المحافظة فكيف الحال باطراف المحافظة,-1
75,"تجربة مريرة للاسف .. يتم الخصم من حسابك البنكي ولا يتم تفعيل الطلب ،، يعني اخذوا فلوسك وانت تشوف ,, من تاريخ 20/8/2022 لحد اليوم تاريخ اليوم لم تسترد اموالي ...",-1
76,من فترة كتبت عنه افضل تطبيق بلا منازع .. الآن صار اسوء تطبيق بلا منازع.. مشاكل ودايما تأخير ودايم اطلب اكل ويوصل متأخر أو مايوصل احيان ويحطو قائمة طعام غير موجودة ف المطعم أو البقالة .. للأسف حتى خدمة العملاء صارت سيئة ومافي أي احترام ولا تعويضات للزبون في حال التأخير ... جاري حذف التطبيق,-1
77,تطبيق سيئ جدا مش شغال في بعض الاماكن لازم تكون من منطقة معينة عشان يحمل معاك ويشتغل,-1
78,من أسوء التطبيقات فعلاً تندم على تنزيله سيء للغايه وغير صادق.,-1
79,👍👏,1
80,هلا هلا,-1
81,ugg,1
82,انا اتكلم عن طلبات اللي في مدينة العين .. الصراحه الخدمة ممتازه سريعين في التوصيل,1
83,مرحبا,1
84,كثير العلانات على فاضي طورو حالكم,-1
85,زي الزفت ولو فيه أقل من نجمة كمان يبقي احسن واسعارة اووووووووووووفر جدا دا خراب بيوت,-1
86,فاشل ٣ ساعات مهمل طلبي بحجه ان المطعم زحمه ولمه رحت المطعم الوضع طبيعي وطلبات ماشيه,-1
87,دة .........ئ ..؟............ ؟. . ؟؟. . . . .. . .. . . .. ... ...... ...... .. . .ةةةة. .ة؟.ىى؟.,1
88,ما بعرف ليش كل الناس بتحتاج هيك تطبيق سيه جدا بصراحه الاكل بارد وكل شي ناقص وبس يكون في غلط منهم الحل بدو اسبوع لا يتعالج,-1
89,كان من أفضل التطبيقات لدي ولكن للأسف الأخطاء كثرت زعلان على تطبيق طلبات إلى ماوصل إليه,-1
90,أنا حزين جدا بسبب الذي حصل اليوم أوردران يرجعو في نفس اليوم ومكالمات كاذبة,-1
91,مشاللة علي الططبيق بس انتو مو عرفيلو,1
92,افضل تطبيق وانصح تنزلونه,1
93,😍✨,1
94,تجربة سيئة وعروض الخصومات وهمية ولم تطبق معى سوى مرة رغم ان العرض ٣ اوردرات ومسئولي التطبيق لا يجدون اي حا,-1
95,مع الشعب رائع حلو,1
